module name;licenses;repository;licenseUrl;parents
assert@1.3.0;MIT;https://github.com/defunctzombie/commonjs-assert;https://github.com/defunctzombie/commonjs-assert/raw/master/LICENSE;meta.exif
assert@1.4.1;MIT;https://github.com/defunctzombie/commonjs-assert;https://github.com/defunctzombie/commonjs-assert/raw/master/LICENSE;watchify:meta.exif
ast-traverse@0.1.1;MIT;https://github.com/olov/ast-traverse;https://github.com/olov/ast-traverse/raw/master/LICENSE;defs:regenerator:babel-core:grunt-babel:uploader.plupload
ast-types@0.8.12;MIT;https://github.com/benjamn/ast-types;https://github.com/benjamn/ast-types/raw/master/LICENSE;recast:regenerator:babel-core:grunt-babel:uploader.plupload
ast-types@0.8.15;MIT;https://github.com/benjamn/ast-types;https://github.com/benjamn/ast-types/raw/master/LICENSE;recast:regexpu:babel-core:grunt-babel:uploader.plupload
ast-types@0.9.4;MIT;https://github.com/benjamn/ast-types;https://github.com/benjamn/ast-types/raw/master/LICENSE;recast:commoner:regenerator:babel-core:grunt-babel:meta.user
ast-types@0.9.5;MIT;https://github.com/benjamn/ast-types;https://github.com/benjamn/ast-types/raw/master/LICENSE;recast:commoner:regenerator:babel-core:grunt-babel:uploader.plupload
ast-types@0.9.6;MIT;https://github.com/benjamn/ast-types;https://github.com/benjamn/ast-types/raw/master/LICENSE;meta.watch
astw@2.2.0;MIT;https://github.com/substack/astw;https://github.com/substack/astw/raw/master/LICENSE;meta.exif
async-each@1.0.1;MIT;https://github.com/paulmillr/async-each;https://github.com/paulmillr/async-each;meta.exif
async@0.1.22;MIT;https://github.com/caolan/async;http://github.com/caolan/async/raw/master/LICENSE;grunt:uploader.plupload
async@0.2.10;MIT;https://github.com/caolan/async;https://github.com/caolan/async/raw/master/LICENSE;grunt-contrib-watch:uploader.plupload
async@0.9.2;MIT;https://github.com/caolan/async;https://github.com/caolan/async/raw/master/LICENSE;meta.exif
async@1.5.2;MIT;https://github.com/caolan/async;https://github.com/caolan/async/raw/master/LICENSE;grunt-contrib-watch:meta.watch
async@2.0.1;MIT;https://github.com/caolan/async;https://github.com/caolan/async/raw/master/LICENSE;form-data:request:less:assemble-less:action.ajxp_user
async@2.3.0;MIT;https://github.com/caolan/async;https://github.com/caolan/async/raw/master/LICENSE;grunt-contrib-less:gui.ajax
asynckit@0.4.0;MIT;https://github.com/alexindigo/asynckit;https://github.com/alexindigo/asynckit/raw/master/LICENSE;fsevents:meta.exif
autoprefixer@6.3.4;MIT;https://github.com/postcss/autoprefixer;https://github.com/postcss/autoprefixer/raw/master/LICENSE;less-plugin-autoprefix:access.ajxp_home
autoprefixer@6.4.1;MIT;https://github.com/postcss/autoprefixer;https://github.com/postcss/autoprefixer/raw/master/LICENSE;less-plugin-autoprefix:action.ajxp_user
autoprefixer@6.7.6;MIT;https://github.com/postcss/autoprefixer;https://github.com/postcss/autoprefixer/raw/master/LICENSE;less-plugin-autoprefix:action.ajxp_user
